timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1495014828340479,-2,-17,0,-19,-3,-18,8,4
1495014828340479,-6,-4,-7,8,1,-9,0,-1
1495014828341152,1,0,-8,-3,8,12,-6,-2
1495014828341152,2,1,1,9,-1,9,-5,-5
1495014828343485,0,12,1,-16,-12,-12,3,3
1495014828343485,0,1,-2,3,3,-2,1,2
1495014828344159,-4,-11,-5,10,10,8,-1,1
1495014828344159,-1,-7,2,-5,0,6,-5,-6
1495014828350396,-2,3,-1,-4,-8,-11,3,1
1495014828350396,-1,3,2,-9,-3,-8,2,-1
1495014828357571,0,4,-5,13,1,2,-5,-2
1495014828357571,-1,-11,2,-15,-3,4,-5,-3
1495014828372585,-2,-3,3,12,-2,-5,3,0
1495014828372585,-3,-4,0,-7,-7,-5,1,1
1495014828381652,0,-5,-6,13,2,3,-4,-2
1495014828381652,-3,-5,2,-5,-8,-3,-4,-6
1495014828387564,6,15,1,-2,1,-7,0,0
1495014828387564,-4,6,-1,1,1,1,0,0
1495014828413343,-7,-22,-1,-3,3,1,-4,-4
1495014828413343,0,10,-1,1,-3,2,-3,-3
1495014828414345,-2,-3,-1,-2,3,-3,2,0
1495014828414345,4,11,-2,-2,-2,1,1,0
1495014828425373,7,0,-7,2,0,0,-5,0
1495014828425373,-19,-7,-1,-4,-2,1,-2,-2
1495014828466484,0,4,1,3,4,4,-4,-1
1495014828466484,5,0,-2,4,3,16,-9,-6
1495014828479523,-2,4,6,-5,-10,-17,8,3
1495014828479523,-3,-17,-4,-11,4,-4,-1,1
1495014828480521,-3,10,-5,4,-2,-1,-1,0
1495014828480521,-1,-5,-2,9,2,13,-8,-5
1495014828480521,-2,-2,-1,-19,-6,-15,3,-1
1495014828480521,1,-5,1,9,-3,-4,2,2
1495014828481529,-2,4,-4,3,4,3,3,1
1495014828481529,3,13,0,-1,3,10,-9,-7
1495014828485541,-4,-2,4,-13,-8,-6,4,1
1495014828485541,-3,2,0,4,-2,-8,2,-1
1495014828499718,-3,-19,-5,-3,1,-1,-3,-3
1495014828499718,-4,-15,-2,2,3,7,-4,-5
1495014828506798,3,11,6,0,-6,-9,2,3
1495014828506798,-3,5,-4,-3,1,-4,0,0
1495014828514621,3,6,-3,1,-1,1,-1,-1
1495014828514621,4,0,0,0,2,6,-2,-1
1495014828537879,-7,-3,2,2,-7,-8,1,0
1495014828537879,-4,-5,-3,-6,-3,-4,-4,-2
1495014828538677,1,5,-2,7,6,3,-1,-1
1495014828538677,-3,-12,-1,0,-3,1,-1,0
1495014828560879,3,3,-2,-1,1,-2,1,1
1495014828560879,0,9,3,8,-4,-3,-2,-1
1495014828561739,-2,-9,-7,-4,-3,-3,-4,-2
1495014828561739,-10,-4,0,-9,1,3,-2,-3
1495014828583011,-1,4,0,7,-3,-5,3,-1
1495014828583011,-3,4,-3,1,-2,-1,-1,0
1495014828583797,0,-19,-4,-4,-5,-3,-4,-3
1495014828583797,2,2,-2,5,2,-1,-3,0
1495014828597850,-4,-2,0,-9,-6,-5,-1,-2
1495014828597850,2,6,-1,3,0,-3,1,-2
1495014828598846,-2,-6,0,2,-1,0,-3,1
1495014828598846,14,14,2,-5,-4,0,-2,-3
1495014828620896,-22,-3,2,-6,3,-6,-2,-3
1495014828620896,-2,-39,-4,-6,-5,-3,1,0
1495014828620896,-1,15,-1,3,3,0,-3,-3
1495014828620896,2,-10,2,-4,-1,0,-2,-3
1495014828635135,9,14,0,1,0,-1,-2,-1
1495014828635135,0,11,-2,-2,0,-1,2,-1
1495014828635939,-3,-10,-2,-11,-3,3,-2,0
1495014828635939,-1,5,2,0,-2,-2,0,-1
1495014828673236,3,-5,-9,6,1,2,2,1
1495014828673236,-3,3,-1,-4,0,1,-3,0
1495014828674091,0,-12,0,1,-2,1,0,0
1495014828674091,-1,4,3,-2,-3,-5,-3,-1
1495014828681061,3,-7,-3,2,-4,-4,-2,-2
1495014828681061,-3,-1,-4,10,-3,-2,0,0
1495014828681061,0,4,-2,-13,6,6,-1,-1
1495014828681061,-7,-16,-1,5,0,-1,-2,-2
1495014828695100,-1,-7,1,-3,-4,-3,0,-1
1495014828695100,3,6,1,7,-1,-1,-2,-1
1495014828696100,7,17,0,4,-1,0,-1,1
1495014828696100,-3,-1,-4,-4,-5,-2,-1,0
1495014828718321,-2,-13,-2,-4,-1,-1,0,-1
1495014828718321,1,24,0,-14,-3,-3,-1,-2
1495014828719160,-7,-30,-1,3,-1,-4,-2,-4
1495014828719160,0,-3,-4,-2,-3,1,2,0
1495014828740226,2,1,1,-1,0,-2,-2,0
1495014828740226,-1,4,1,-4,-2,1,0,0
1495014828747459,3,28,1,12,-1,-6,-3,-3
1495014828747459,-7,-15,2,-16,7,8,2,4
1495014828754301,0,-4,1,-6,0,0,-2,-1
1495014828754301,-10,-22,2,-1,-3,-3,-1,-1
1495014828762277,2,12,2,8,-1,-1,-3,-2
1495014828762277,3,5,-3,1,-4,-7,0,-2
1495014828778319,2,11,-5,-11,-4,-1,-2,0
1495014828778319,-3,3,1,5,4,-1,-1,-2
1495014828779318,-2,-11,-3,-10,2,1,-3,-2
1495014828779318,-1,-11,-3,-7,-7,-6,-3,-3
1495014828801388,5,-1,0,-9,0,4,2,0
1495014828801388,3,-2,-2,0,-3,-6,-4,-3
1495014828801388,-4,2,-2,9,4,3,-2,-1
1495014828801388,-1,13,5,-8,-3,-1,0,0
1495014828814466,1,10,-1,19,3,-1,-3,-1
1495014828814466,-1,-31,-3,4,10,12,5,2
1495014828822433,-3,-2,-2,-4,1,4,-2,-1
1495014828822433,-1,5,1,6,-5,-10,-2,-3
1495014828838715,0,-1,-5,0,-1,1,-1,-1
1495014828838715,12,25,3,1,-2,-2,-1,2
1495014828838715,-14,-7,-1,-6,4,1,1,11
1495014828838715,1,13,10,15,-3,-3,1,10
1495014828860539,-11,-24,0,3,-1,1,-5,-40
1495014828860539,1,-7,-8,-8,-1,0,-3,-2
1495014828861538,6,10,-3,-2,-8,1,3,-2
1495014828861538,10,20,3,-2,5,-4,4,14
1495014828874752,4,11,2,0,3,1,0,20
1495014828874752,-12,-6,4,-6,-6,-4,-5,-12
1495014828882645,-8,-29,-3,7,2,0,-5,-24
1495014828882645,-7,0,-6,-23,-13,-5,-4,-3
1495014828898647,11,10,1,18,0,-1,3,4
1495014828898647,10,8,-6,-16,9,0,1,9
1495014828898647,-22,4,-1,9,-5,-2,0,5
1495014828898647,3,-19,-3,9,-2,-4,-1,6
1495014828920876,-9,-29,-4,-22,-2,-3,-5,-10
1495014828920876,-2,1,4,4,-6,-4,-2,1
1495014828921696,13,18,-1,8,1,0,-4,-3
1495014828921696,7,19,2,-14,-4,1,5,-4
1495014828934732,0,-8,-4,11,-18,-11,-5,22
1495014828934732,17,7,1,-22,9,-6,-9,-29
1495014828949781,-57,-49,-3,-2,1,7,-1,-6
1495014828949781,-1,5,0,9,-2,-3,-1,0
1495014828958805,-6,13,-1,-6,0,-2,0,5
1495014828958805,9,15,6,8,-5,1,3,10
1495014828959801,20,14,-1,7,4,5,4,24
1495014828959801,-4,-29,-5,-19,2,-2,0,-19
1495014828981081,-4,19,5,3,5,5,-4,-18
1495014828981081,-13,-40,-2,3,-5,-2,-6,-21
1495014828981866,11,4,-1,3,-3,0,-1,-1
1495014828981866,2,6,-1,-14,-1,-2,1,10
1495014828994092,42,43,-3,7,18,10,8,27
1495014828994092,-49,-41,-8,17,14,7,1,13
1495014829002959,-14,-19,1,-26,1,-6,-5,-35
1495014829002959,-3,-1,4,-5,-7,-8,-1,9
1495014829018018,-4,-1,-5,4,-15,-7,-1,-20
1495014829018018,27,43,-3,-7,-7,-2,7,30
1495014829019969,-4,-15,-9,-3,19,8,-3,2
1495014829019969,-5,3,3,12,-9,-6,-6,-24
1495014829041028,-28,-53,-5,-6,4,5,-2,-3
1495014829041028,-4,4,-4,0,-17,0,-2,-17
1495014829042019,16,24,-1,2,-6,-3,4,12
1495014829042019,12,6,1,-1,2,1,3,15
1495014829054227,-10,25,-5,-2,-5,-3,-3,-5
1495014829054227,-6,-19,1,-1,-2,-4,-2,-8
1495014829063083,1,-49,-3,3,6,10,-2,-7
1495014829063083,-9,-10,-5,0,1,-2,0,10
1495014829078126,-3,13,0,9,-5,-6,-3,-9
1495014829078126,18,27,4,1,-3,-6,2,4
1495014829080119,9,18,2,-27,14,10,-2,10
1495014829080119,7,10,1,10,6,4,6,11
1495014829101174,-9,-16,-1,32,11,7,3,33
1495014829101174,-34,-28,-3,-29,-18,-15,-18,-42
1495014829102181,1,-54,2,2,-13,-15,-7,-46
1495014829102181,-1,12,-3,-36,14,7,3,9
1495014829123416,13,26,15,-1,-5,-3,4,-13
1495014829123416,20,59,-15,6,-8,-2,-1,41
1495014829124236,6,-35,0,25,7,13,11,43
1495014829124236,10,15,-7,11,-9,-4,-11,-31
1495014829138276,-36,-37,-2,-20,0,0,-9,-33
1495014829138276,-32,-54,7,6,-5,1,2,19
1495014829139284,-6,-2,3,-17,-12,-13,-7,-43
1495014829139284,0,4,-7,15,3,-3,12,9
1495014829160549,33,4,0,17,7,9,7,35
1495014829160549,10,56,-8,-75,18,19,7,18
1495014829162336,12,24,-6,21,-3,2,-4,-19
1495014829162336,-10,-19,10,-20,-22,-19,-17,4
1495014829183400,-24,-14,1,-2,-15,-23,-1,-67
1495014829183400,38,27,1,6,18,2,3,10
1495014829184396,-13,38,21,5,-9,4,5,30
1495014829184396,-19,-3,-3,99,3,8,22,53
1495014829198431,37,33,-13,-104,35,25,-13,19
1495014829198431,-34,-108,33,56,-7,-10,-12,-86
