timestamp,x,y,z
1495014828184734,-2,-1.125,0.1875
1495014828199773,-0.875,-0.5625,-0.1875
1495014828223840,0.0625,0.6875,-0.875
1495014828244253,-3.6875,-0.875,0.5625
1495014828260207,-1.4375,0.4375,0.0625
1495014828283428,1.375,0.875,-0.0625
1495014828338378,0.625,0.5,0.5625
1495014828340479,0.625,0.5625,0.125
1495014828345161,-0.5625,1,-0.375
1495014828365547,-0.8125,0.6875,-0.625
1495014828383262,-0.25,0.625,-0.875
1495014828414345,-1.5625,0.25,0.0625
1495014828464735,-1.0625,-0.5625,0.5
1495014828465487,-0.0625,-0.6875,0.5625
1495014828465487,1.75,-0.125,0.0625
1495014828484748,1.1875,0.625,-0.5
1495014828500580,-0.8125,0.75,-0.375
1495014828521843,-3.25,0.4375,-0.3125
1495014828539685,-2.1875,0.3125,0.1875
1495014828561739,0.5,0.5,0.25
1495014828584799,1.8125,0.125,-0.125
1495014828604865,0.6875,0.125,-0.3125
1495014828621908,-2,0.125,-0.375
1495014828642143,-2.625,0.25,-0.1875
1495014828675041,-0.5,0.125,0
1495014828682066,0.75,0.375,0
1495014828702111,-1.0625,-0.25,0.1875
1495014828720161,-1.4375,-0.3125,0.375
1495014828748239,-0.4375,-0.1875,0.125
1495014828763291,0.125,0.625,-1
1495014828779318,-0.75,0.5625,-0.875
1495014828802380,-1.1875,0.5,-0.8125
1495014828823439,-0.125,0.5,-0.25
1495014828839489,-1.5625,0,0.375
1495014828862538,-1,1.1875,-0.8125
1495014828883597,-4.1875,-0.375,-1.75
1495014828899641,-4.3125,0.375,-3
1495014828922716,-4.0625,0.25,-2.3125
1495014828942985,0.3125,0.0625,-1.25
1495014828958805,-0.5625,-0.1875,-1.5625
1495014828981866,-6.125,1.0625,-2
1495014829002959,-7.375,0.75,-3.3125
1495014829018961,-6.9375,-1.4375,-3.0625
1495014829041028,-5.5,-1.4375,-2.75
1495014829062072,-4.9375,-0.375,-2.625
1495014829079116,-5.875,-0.625,-2.375
1495014829101174,-5.375,0.125,-2.8125
1495014829124236,-5.3125,-1.625,-1.9375
1495014829139284,-0.375,-0.75,-1
1495014829161336,0.4375,0.6875,-1.625
1495014829183400,-2.9375,2.25,-3.125
1495014829198431,-5.6875,-2.0625,-0.6875
1495014829221492,-1.875,-5.4375,2.1875
1495014829243550,8.8125,-2.625,1.75
1495014829258589,1.375,-1.0625,0.125
1495014829281686,-6.625,3.4375,-1.625
1495014829303711,-2.375,1.0625,-0.375
1495014829319789,3.0625,-1.5,2.25
1495014829341814,5.4375,2.625,1.1875
