timestamp,x,y,z,w
1495014828184734,-0.622253,-0.151672,0.000793457,0.767944
1495014828199773,-0.622253,-0.151672,0.000793457,0.768005
1495014828223840,-0.622192,-0.151672,0.000793457,0.768005
1495014828244253,-0.622803,-0.151794,0.000854492,0.767517
1495014828260207,-0.622925,-0.151672,0.000793457,0.767395
1495014828283428,-0.622681,-0.151611,0.000671387,0.767639
1495014828338378,-0.622681,-0.151611,0.000671387,0.7677
1495014828340479,-0.62262,-0.151611,0.000671387,0.7677
1495014828345161,-0.62262,-0.151489,0.000427246,0.767761
1495014828365547,-0.622559,-0.151489,0.000427246,0.767761
1495014828383262,-0.622498,-0.151489,0.000427246,0.767822
1495014828414345,-0.622559,-0.151367,0.000427246,0.767761
1495014828464735,-0.62262,-0.151306,0.000549316,0.767761
1495014828465487,-0.62262,-0.151306,0.000549316,0.767761
1495014828465487,-0.622253,-0.151245,0.000671387,0.768066
1495014828484748,-0.621887,-0.151245,0.000488281,0.768372
1495014828500580,-0.621826,-0.151184,0.000549316,0.768372
1495014828521843,-0.622192,-0.151123,0.000366211,0.768127
1495014828539685,-0.622375,-0.151062,0.000305176,0.768005
1495014828561739,-0.622375,-0.151062,0.000305176,0.768005
1495014828584799,-0.62207,-0.151001,0.000366211,0.768311
1495014828604865,-0.622009,-0.151001,0.000366211,0.768311
1495014828621908,-0.622192,-0.15094,0.000244141,0.768188
1495014828642143,-0.622437,-0.150879,0.00012207,0.768005
1495014828675041,-0.622437,-0.150879,0.00012207,0.768005
1495014828682066,-0.622375,-0.150879,0.00012207,0.768066
1495014828702111,-0.622375,-0.150757,0.000244141,0.768066
1495014828720161,-0.622498,-0.150696,0.000305176,0.768005
1495014828748239,-0.622437,-0.150696,0.000305176,0.768005
1495014828763291,-0.622437,-0.150757,0.000305176,0.768005
1495014828779318,-0.622437,-0.150757,0.000305176,0.768005
1495014828802380,-0.622498,-0.150696,0.00012207,0.768005
1495014828823439,-0.622437,-0.150696,0.00012207,0.768005
1495014828839489,-0.622437,-0.150513,0.000183105,0.768066
1495014828862538,-0.622314,-0.15033,0,0.768188
1495014828883597,-0.622742,-0.150513,-0.000305176,0.767761
1495014828899641,-0.623108,-0.150879,-0.000915527,0.767456
1495014828922716,-0.623596,-0.151123,-0.00140381,0.767029
1495014828942985,-0.623352,-0.151184,-0.00158691,0.767151
1495014828958805,-0.623352,-0.151428,-0.00183105,0.767151
1495014828981866,-0.62384,-0.151367,-0.00231934,0.766785
1495014829002959,-0.624512,-0.151428,-0.00292969,0.766235
1495014829018961,-0.625122,-0.151855,-0.00335693,0.765564
1495014829041028,-0.625793,-0.152344,-0.00366211,0.764954
1495014829062072,-0.626343,-0.152649,-0.00415039,0.764465
1495014829079116,-0.626953,-0.152954,-0.0045166,0.763855
1495014829101174,-0.627319,-0.153137,-0.00506592,0.76355
1495014829124236,-0.627808,-0.153564,-0.00531006,0.763062
1495014829139284,-0.627808,-0.153503,-0.00524902,0.763062
1495014829161336,-0.627563,-0.153564,-0.0055542,0.763245
1495014829183400,-0.627502,-0.153625,-0.00634766,0.763245
1495014829198431,-0.628357,-0.153809,-0.00628662,0.762512
